"所在地","緯度","経度","主銘文","紀年銘","願主銘","その他銘","造立年","高さ","幅","奥行","分類","写真"
"厚木市金田",35.46025,139.36806,"日天 月天／妙法三十番神守護／金神 水神","明治廿八年十一月八日","祭主 奈良亥之助",,1895,47,18,7,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（厚木市金田）.jpg"
"鎌倉市大町１丁目 妙本寺蛇苦止堂（日蓮宗）",35.31806,139.55619,"金神 妙法守護 水神",,,,,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（妙本寺蛇苦止堂）.jpg"
"相模原市中央区淵野辺本町４丁目 皇武神社",35.569077,139.408725,"日天 月天／妙法守護／金神 水神","明治十七年二月","北嶋",,1884,33,29,8,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（皇武神社）.jpg"
"相模原市中央区宮下本町１丁目",35.59254,139.37353,"日天 月天／妙法守護／金神 水神","明治十八年七月",,,1885,75,45,8,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（相模原市中央区宮下本町）.jpg"
"相模原市中央区矢部２丁目 村富神社",35.57362,139.38169,"天／金神 水神／妙法守護","十七年五月一日","守屋",,1884,38,22,6,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（村富神社）.jpg"
"相模原市中央区矢部２丁目 村富神社",35.57362,139.38169,"（上部欠損）護／金神 水神",,,,,21,23,7,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（村富神社）2.jpg"
"相模原市緑区相原６丁目 相原八幡宮",35.6055,139.31811,"（上部風化）□護／金神",,,,,,,,"狭義",
"相模原市緑区青野原",35.563153,139.200585,"日天 妙法守護金神 月天","昭和三年一月吉日","杉本(金次郎) 建□",,1928,40,20,8,"狭義","https://commons.wikimedia.org/wiki/File:日天月天妙法守護金神碑（相模原市緑区青野原）.jpg"
"相模原市緑区青野原 井原寺（曹洞宗）",35.562256,139.198471,"妙法守護金神","明治十三辰四月","井上治郎右エ門",,1880,33,14,9,"広義","https://commons.wikimedia.org/wiki/File:妙法守護金神碑（井原寺）.jpg"
"相模原市緑区青野原 妙法加藤明神（日蓮宗）",35.55652,139.18064,"妙法守護神","大正十五年一月十五日","梅澤多蔵",,1926,,,,"広義","https://commons.wikimedia.org/wiki/File:妙法守護神碑（妙法加藤明神）.jpg"
"相模原市緑区青野原 妙法加藤明神（日蓮宗）",35.556781,139.181039,"妙法御塚守護大神","昭和六十一年",,,1986,75,28,10,"広義","https://commons.wikimedia.org/wiki/File:妙法御塚守護大神碑（妙法加藤明神）.jpg"
"相模原市緑区川尻",35.61248,139.28629,"日天 月天／妙法守護／金神 水神","明治十六年",,,1883,35,29,6,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（相模原市緑区川尻）.jpg"
"相模原市緑区川尻 川尻八幡宮",35.60054,139.301267,"□天／金神 水神／妙法守護","十七年六月日","大久保氏",,1884,33,23,4,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（川尻八幡宮）.jpg"
"相模原市緑区長竹 志田山朝日寺（日蓮宗）",35.549184,139.273539,"妙法守護金神","明治十二卯十二月日","鈴木彦三郎",,1879,,,,"広義","https://commons.wikimedia.org/wiki/File:妙法守護金神碑（志田山朝日寺）.jpg"
"相模原市緑区長竹 志田山朝日寺（日蓮宗）",35.549184,139.273539,"妙法／守護水神",,,,,,,,"広義","https://commons.wikimedia.org/wiki/File:妙法守護水神碑（志田山朝日寺）.jpg"
"相模原市緑区中野",35.58562,139.25612,"日天 月天／妙法守護／金神 水神","明治十七年三月","田谷氏",,1884,54,26,5,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（相模原市緑区中野）.jpg"
"相模原市緑区中野 中野神社",35.582911,139.258523,"妙法金神社","昭和十年七月","角田浜次郎",,1935,47,22,12,"広義","https://commons.wikimedia.org/wiki/File:妙法金神社碑（中野神社）.jpg"
"相模原市緑区中野 中野神社",35.582911,139.258523,"妙法守護神","昭和二十一年",,,1946,38,19,8,"広義","https://commons.wikimedia.org/wiki/File:妙法守護神碑（中野神社）.jpg"
"相模原市緑区根小屋 富士塚",35.572342,139.269488,"妙法金神水神","申十月",,,,35,18,11,"狭義","https://commons.wikimedia.org/wiki/File:妙法金神水神碑（相模原市緑区根小屋）.jpg"
"相模原市緑区牧野",35.583458,139.141861,"妙法金□","□治十六年 二月十九日",,,1883,37,16,11,"広義","https://commons.wikimedia.org/wiki/File:妙法金神碑（相模原市緑区牧野）.jpg"
"相模原市緑区又野",35.593392,139.241502,"妙法守護／金神 水神","明治十五年十月日","杦浦宇太吉",,1882,31,20,13,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（相模原市緑区又野）.jpg"
"相模原市南区上鶴間本町４丁目 稲荷神社",35.53722,139.44394,"日天 月天／金神 水神／妙法守護","明治十七年六月日","拾三代 澁谷長左ェ門",,1884,52,29,4,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（相模原市南区・稲荷神社）.jpg"
"相模原市南区当麻 無量光寺（時宗）",35.52824,139.36649,"日天 月天／妙法守護／金神 水神",,,,,43,37,8,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（相模原市南区・無量光寺）.jpg"
"平塚市浅間町一丁目 平塚八幡宮",35.33388,139.3488,"大日□ 大月天□／□法守□／金神 水神",,,,,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（平塚八幡宮）.jpg"
"昭島市大神町３丁目 観音寺（天台宗）",35.6993,139.3611,"妙法守護／金神 水神","明治四十四年二月",,,1911,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（昭島市・観音寺）.jpg"
"青梅市新町二丁目 新町御嶽神社（水神社）",35.79076,139.29923,"日天 月天／妙法守護／金神 水神",,,,,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（新町水神社）.jpg"
"八王子市上恩方町 駒木野稲荷神社",35.66887,139.2327,"日天 月天／妙法守護／金神 水神","明治廿年四月日",,,1887,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（駒木野稲荷神社）.jpg"
"八王子市散田町３丁目 御嶽神社",35.65175,139.31205,"日天 月天／金神 水神／妙法守護","明治十七年七月","石川氏",,1884,40,31,5,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（八王子市・御嶽神社）.jpg"
"八王子市中野山王２丁目 子安神社",35.67649,139.32595,"日天 月天／妙法守護／金神 水神","明治十六年九月日","山田峯三郎",,1883,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（八王子市・中野山王子安神社）.jpg"
"八王子市みなみ野３丁目 子安宮",35.62942,139.32724,"日天 月天／妙法守護／金神 水神","明治十八年十月","糠信氏",,1885,43,23,6,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（子安宮）.jpg"
"八王子市元八王子町１丁目",35.66621,139.28968,"（上部欠損）妙法守護／金神 水神",,,,,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（八王子市元八王子町）.jpg"
"八王子市元八王子町１丁目 七面堂（日蓮宗）",35.66783,139.29064,"妙法大嶋明神守","明治十五年五月日","永井信明 講中",,1882,67,46,8,"広義","https://commons.wikimedia.org/wiki/File:妙法大嶋明神守碑（八王子市・七面堂）.jpg"
"八王子市元本郷町１丁目 善龍寺（日蓮宗）",35.66222,139.32299,"日天 月天／妙法守護／金神 水神","明治十五午年五月吉辰","横山茂兵衛","寄附一金七拾五圓",1882,77,41,7,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（八王子市・善龍寺）.jpg"
"町田市相原町",35.60574,139.33753,"日天 月天／妙法守護／金神 水神","明治十七年三月","牛久保氏",,1884,43,18,7,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（町田市相原町）.jpg"
"町田市相原町",35.6114,139.29728,"日天 月天／妙法守護／金神 水神","明治十六年三月","小林氏",,1883,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（町田市相原町）2.jpg"
"町田市相原町 大戸観音堂（臨済宗）",35.61345,139.28902,"日天 妙法 月天／金神 水神","明治十六年三月","南多摩郡 相原村 松本菊蔵 ",,1883,33,18,9.5,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（町田市・大戸観音堂）.jpg"
"町田市相原町 七面堂（日蓮宗）",35.61204,139.29683,"妙法市明神","明治十五年九月","澁谷傳左ェ門",,1882,,,,"広義","https://commons.wikimedia.org/wiki/File:妙法市明神碑（町田市・七面堂）.jpg"
"町田市相原町 七面堂（日蓮宗）",35.61204,139.29683,"妙法守護雄神","明治十六年九月","施主 渋谷藤右衛門",,1883,,,,"広義","https://commons.wikimedia.org/wiki/File:妙法守護雄神碑（町田市・七面堂）.jpg"
